MPG,CYLINDERS,DISPLACEMENT,HP,WEIGHT,ACCELERATION,YEAR,ORIGIN,NAME,WEIGHT_KG,EFFICIENCY,BRAND,NAME_UPPER
27.0,4,97.0,88.0,2130,14.5,70,japan,datsun pl510,966.168,Good,datsun,DATSUN PL510
26.0,4,97.0,46.0,1835,20.5,70,europe,volkswagen 1131 deluxe sedan,832.356,Good,volkswagen,VOLKSWAGEN 1131 DELUXE SEDAN
26.0,4,121.0,113.0,2234,12.5,70,europe,bmw 2002,1013.3424,Good,bmw,BMW 2002
27.0,4,97.0,88.0,2130,14.5,71,japan,datsun pl510,966.168,Good,datsun,DATSUN PL510
28.0,4,140.0,90.0,2264,15.5,71,usa,chevrolet vega 2300,1026.9504,Good,chevrolet,CHEVROLET VEGA 2300
28.0,4,116.0,90.0,2123,14.0,71,europe,opel 1900,962.9928,Good,opel,OPEL 1900
30.0,4,79.0,70.0,2074,19.5,71,europe,peugeot 304,940.7664,Good,peugeot,PEUGEOT 304
30.0,4,88.0,76.0,2065,14.5,71,europe,fiat 124b,936.684,Good,fiat,FIAT 124B
31.0,4,71.0,65.0,1773,19.0,71,japan,toyota corolla 1200,804.2328,Good,toyota,TOYOTA COROLLA 1200
35.0,4,72.0,69.0,1613,18.0,71,japan,datsun 1200,731.6568,Good,datsun,DATSUN 1200
27.0,4,97.0,60.0,1834,19.0,71,europe,volkswagen model 111,831.9024000000001,Good,volkswagen,VOLKSWAGEN MODEL 111
26.0,4,91.0,70.0,1955,20.5,71,usa,plymouth cricket,886.788,Good,plymouth,PLYMOUTH CRICKET
26.0,4,96.0,69.0,2189,18.0,72,europe,renault 12 (sw),992.9304,Good,renault,RENAULT 12 (SW)
28.0,4,97.0,92.0,2288,17.0,72,japan,datsun 510 (sw),1037.8368,Good,datsun,DATSUN 510 (SW)
28.0,4,98.0,80.0,2164,15.0,72,usa,dodge colt (sw),981.5904,Good,dodge,DODGE COLT (SW)
27.0,4,97.0,88.0,2100,16.5,72,japan,toyota corolla 1600 (sw),952.5600000000001,Good,toyota,TOYOTA COROLLA 1600 (SW)
26.0,4,97.0,46.0,1950,21.0,73,europe,volkswagen super beetle,884.52,Good,volkswagen,VOLKSWAGEN SUPER BEETLE
26.0,4,98.0,90.0,2265,15.5,73,europe,fiat 124 sport coupe,1027.404,Good,fiat,FIAT 124 SPORT COUPE
29.0,4,68.0,49.0,1867,19.5,73,europe,fiat 128,846.8712,Good,fiat,FIAT 128
31.0,4,79.0,67.0,1950,19.0,74,japan,datsun b210,884.52,Good,datsun,DATSUN B210
26.0,4,122.0,80.0,2451,16.5,74,usa,ford pinto,1111.7736,Good,ford,FORD PINTO
32.0,4,71.0,65.0,1836,21.0,74,japan,toyota corolla 1200,832.8096,Good,toyota,TOYOTA COROLLA 1200
29.0,4,98.0,83.0,2219,16.5,74,europe,audi fox,1006.5384,Good,audi,AUDI FOX
26.0,4,79.0,67.0,1963,15.5,74,europe,volkswagen dasher,890.4168,Good,volkswagen,VOLKSWAGEN DASHER
26.0,4,97.0,78.0,2300,14.5,74,europe,opel manta,1043.28,Good,opel,OPEL MANTA
31.0,4,76.0,52.0,1649,16.5,74,japan,toyota corona,747.9864,Good,toyota,TOYOTA CORONA
32.0,4,83.0,61.0,2003,19.0,74,japan,datsun 710,908.5608,Good,datsun,DATSUN 710
28.0,4,90.0,75.0,2125,14.5,74,usa,dodge colt,963.9,Good,dodge,DODGE COLT
26.0,4,116.0,75.0,2246,14.0,74,europe,fiat 124 tc,1018.7856,Good,fiat,FIAT 124 TC
26.0,4,108.0,93.0,2391,15.5,74,japan,subaru,1084.5576,Good,subaru,SUBARU
31.0,4,79.0,67.0,2000,16.0,74,europe,fiat x1.9,907.2,Good,fiat,FIAT X1.9
29.0,4,97.0,75.0,2171,16.0,75,japan,toyota corolla,984.7656000000001,Good,toyota,TOYOTA COROLLA
29.0,4,90.0,70.0,1937,14.0,75,europe,volkswagen rabbit,878.6232,Good,volkswagen,VOLKSWAGEN RABBIT
33.0,4,91.0,53.0,1795,17.5,75,japan,honda civic cvcc,814.212,Good,honda,HONDA CIVIC CVCC
28.0,4,107.0,86.0,2464,15.5,76,europe,fiat 131,1117.6704,Good,fiat,FIAT 131
26.0,4,98.0,79.0,2255,17.7,76,usa,dodge colt,1022.868,Good,dodge,DODGE COLT
27.0,4,101.0,83.0,2202,15.3,76,europe,renault 12tl,998.8272000000001,Good,renault,RENAULT 12TL
29.0,4,85.0,52.0,2035,22.2,76,usa,chevrolet chevette,923.076,Good,chevrolet,CHEVROLET CHEVETTE
29.0,4,90.0,70.0,1937,14.2,76,europe,vw rabbit,878.6232,Good,vw,VW RABBIT
33.0,4,91.0,53.0,1795,17.4,76,japan,honda civic,814.212,Good,honda,HONDA CIVIC
29.5,4,97.0,71.0,1825,12.2,76,europe,volkswagen rabbit,827.82,Good,volkswagen,VOLKSWAGEN RABBIT
32.0,4,85.0,70.0,1990,17.0,76,japan,datsun b-210,902.664,Good,datsun,DATSUN B-210
28.0,4,97.0,75.0,2155,16.4,76,japan,toyota corolla,977.508,Good,toyota,TOYOTA COROLLA
26.5,4,140.0,72.0,2565,13.6,76,usa,ford pinto,1163.484,Good,ford,FORD PINTO
31.5,4,98.0,68.0,2045,18.5,77,japan,honda accord cvcc,927.612,Good,honda,HONDA ACCORD CVCC
30.0,4,111.0,80.0,2155,14.8,77,usa,buick opel isuzu deluxe,977.508,Good,buick,BUICK OPEL ISUZU DELUXE
36.0,4,79.0,58.0,1825,18.6,77,europe,renault 5 gtl,827.82,Good,renault,RENAULT 5 GTL
25.5,4,122.0,96.0,2300,15.5,77,usa,plymouth arrow gs,1043.28,Good,plymouth,PLYMOUTH ARROW GS
33.5,4,85.0,70.0,1945,16.8,77,japan,datsun f-10 hatchback,882.252,Good,datsun,DATSUN F-10 HATCHBACK
29.0,4,97.0,78.0,1940,14.5,77,europe,volkswagen rabbit custom,879.984,Good,volkswagen,VOLKSWAGEN RABBIT CUSTOM
26.0,4,97.0,75.0,2265,18.2,77,japan,toyota corolla liftback,1027.404,Good,toyota,TOYOTA COROLLA LIFTBACK
25.5,4,140.0,89.0,2755,15.8,77,usa,ford mustang ii 2+2,1249.6680000000001,Good,ford,FORD MUSTANG II 2+2
30.5,4,98.0,63.0,2051,17.0,77,usa,chevrolet chevette,930.3336,Good,chevrolet,CHEVROLET CHEVETTE
33.5,4,98.0,83.0,2075,15.9,77,usa,dodge colt m/m,941.22,Good,dodge,DODGE COLT M/M
30.0,4,97.0,67.0,1985,16.4,77,japan,subaru dl,900.396,Good,subaru,SUBARU DL
30.5,4,97.0,78.0,2190,14.1,77,europe,volkswagen dasher,993.384,Good,volkswagen,VOLKSWAGEN DASHER
43.1,4,90.0,48.0,1985,21.5,78,europe,volkswagen rabbit custom diesel,900.396,Good,volkswagen,VOLKSWAGEN RABBIT CUSTOM DIESEL
36.1,4,98.0,66.0,1800,14.4,78,usa,ford fiesta,816.48,Good,ford,FORD FIESTA
32.8,4,78.0,52.0,1985,19.4,78,japan,mazda glc deluxe,900.396,Good,mazda,MAZDA GLC DELUXE
39.4,4,85.0,70.0,2070,18.6,78,japan,datsun b210 gx,938.952,Good,datsun,DATSUN B210 GX
36.1,4,91.0,60.0,1800,16.4,78,japan,honda civic cvcc,816.48,Good,honda,HONDA CIVIC CVCC
25.1,4,140.0,88.0,2720,15.4,78,usa,ford fairmont (man),1233.792,Good,ford,FORD FAIRMONT (MAN)
30.0,4,98.0,68.0,2155,16.5,78,usa,chevrolet chevette,977.508,Good,chevrolet,CHEVROLET CHEVETTE
27.5,4,134.0,95.0,2560,14.2,78,japan,toyota corona,1161.216,Good,toyota,TOYOTA CORONA
27.2,4,119.0,97.0,2300,14.7,78,japan,datsun 510,1043.28,Good,datsun,DATSUN 510
30.9,4,105.0,75.0,2230,14.5,78,usa,dodge omni,1011.528,Good,dodge,DODGE OMNI
31.5,4,89.0,71.0,1990,14.9,78,europe,volkswagen scirocco,902.664,Good,volkswagen,VOLKSWAGEN SCIROCCO
29.5,4,98.0,68.0,2135,16.6,78,japan,honda accord lx,968.436,Good,honda,HONDA ACCORD LX
31.9,4,89.0,71.0,1925,14.0,79,europe,vw rabbit custom,873.18,Good,vw,VW RABBIT CUSTOM
34.1,4,86.0,65.0,1975,15.2,79,japan,maxda glc deluxe,895.86,Good,maxda,MAXDA GLC DELUXE
35.7,4,98.0,80.0,1915,14.4,79,usa,dodge colt hatchback custom,868.644,Good,dodge,DODGE COLT HATCHBACK CUSTOM
27.4,4,121.0,80.0,2670,15.0,79,usa,amc spirit dl,1211.112,Good,amc,AMC SPIRIT DL
25.4,5,183.0,77.0,3530,20.1,79,europe,mercedes benz 300d,1601.208,Good,mercedes,MERCEDES BENZ 300D
27.2,4,141.0,71.0,3190,24.8,79,europe,peugeot 504,1446.984,Good,peugeot,PEUGEOT 504
34.2,4,105.0,70.0,2200,13.2,79,usa,plymouth horizon,997.92,Good,plymouth,PLYMOUTH HORIZON
34.5,4,105.0,70.0,2150,14.9,79,usa,plymouth horizon tc3,975.24,Good,plymouth,PLYMOUTH HORIZON TC3
31.8,4,85.0,65.0,2020,19.2,79,japan,datsun 210,916.272,Good,datsun,DATSUN 210
37.3,4,91.0,69.0,2130,14.7,79,europe,fiat strada custom,966.168,Good,fiat,FIAT STRADA CUSTOM
28.4,4,151.0,90.0,2670,16.0,79,usa,buick skylark limited,1211.112,Good,buick,BUICK SKYLARK LIMITED
28.8,6,173.0,115.0,2595,11.3,79,usa,chevrolet citation,1177.092,Good,chevrolet,CHEVROLET CITATION
26.8,6,173.0,115.0,2700,12.9,79,usa,oldsmobile omega brougham,1224.72,Good,oldsmobile,OLDSMOBILE OMEGA BROUGHAM
33.5,4,151.0,90.0,2556,13.2,79,usa,pontiac phoenix,1159.4016,Good,pontiac,PONTIAC PHOENIX
41.5,4,98.0,76.0,2144,14.7,80,europe,vw rabbit,972.5184,Good,vw,VW RABBIT
38.1,4,89.0,60.0,1968,18.8,80,japan,toyota corolla tercel,892.6848,Good,toyota,TOYOTA COROLLA TERCEL
32.1,4,98.0,70.0,2120,15.5,80,usa,chevrolet chevette,961.6320000000001,Good,chevrolet,CHEVROLET CHEVETTE
37.2,4,86.0,65.0,2019,16.4,80,japan,datsun 310,915.8184,Good,datsun,DATSUN 310
28.0,4,151.0,90.0,2678,16.5,80,usa,chevrolet citation,1214.7408,Good,chevrolet,CHEVROLET CITATION
26.4,4,140.0,88.0,2870,18.1,80,usa,ford fairmont,1301.832,Good,ford,FORD FAIRMONT
34.3,4,97.0,78.0,2188,15.8,80,europe,audi 4000,992.4768,Good,audi,AUDI 4000
29.8,4,134.0,90.0,2711,15.5,80,japan,toyota corona liftback,1229.7096,Good,toyota,TOYOTA CORONA LIFTBACK
31.3,4,120.0,75.0,2542,17.5,80,japan,mazda 626,1153.0512,Good,mazda,MAZDA 626
37.0,4,119.0,92.0,2434,15.0,80,japan,datsun 510 hatchback,1104.0624,Good,datsun,DATSUN 510 HATCHBACK
32.2,4,108.0,75.0,2265,15.2,80,japan,toyota corolla,1027.404,Good,toyota,TOYOTA COROLLA
46.6,4,86.0,65.0,2110,17.9,80,japan,mazda glc,957.096,Good,mazda,MAZDA GLC
27.9,4,156.0,105.0,2800,14.4,80,usa,dodge colt,1270.08,Good,dodge,DODGE COLT
40.8,4,85.0,65.0,2110,19.2,80,japan,datsun 210,957.096,Good,datsun,DATSUN 210
44.3,4,90.0,48.0,2085,21.7,80,europe,vw rabbit c (diesel),945.756,Good,vw,VW RABBIT C (DIESEL)
43.4,4,90.0,48.0,2335,23.7,80,europe,vw dasher (diesel),1059.156,Good,vw,VW DASHER (DIESEL)
36.4,5,121.0,67.0,2950,19.9,80,europe,audi 5000s (diesel),1338.1200000000001,Good,audi,AUDI 5000S (DIESEL)
30.0,4,146.0,67.0,3250,21.8,80,europe,mercedes-benz 240d,1474.2,Good,mercedes-benz,MERCEDES-BENZ 240D
44.6,4,91.0,67.0,1850,13.8,80,japan,honda civic 1500 gl,839.16,Good,honda,HONDA CIVIC 1500 GL
40.9,4,85.0,,1835,17.3,80,europe,renault lecar deluxe,832.356,Good,renault,RENAULT LECAR DELUXE
33.8,4,97.0,67.0,2145,18.0,80,japan,subaru dl,972.972,Good,subaru,SUBARU DL
29.8,4,89.0,62.0,1845,15.3,80,europe,vokswagen rabbit,836.892,Good,vokswagen,VOKSWAGEN RABBIT
32.7,6,168.0,132.0,2910,11.4,80,japan,datsun 280-zx,1319.976,Good,datsun,DATSUN 280-ZX
35.0,4,122.0,88.0,2500,15.1,80,europe,triumph tr7 coupe,1134.0,Good,triumph,TRIUMPH TR7 COUPE
32.4,4,107.0,72.0,2290,17.0,80,japan,honda accord,1038.744,Good,honda,HONDA ACCORD
27.2,4,135.0,84.0,2490,15.7,81,usa,plymouth reliant,1129.464,Good,plymouth,PLYMOUTH RELIANT
26.6,4,151.0,84.0,2635,16.4,81,usa,buick skylark,1195.236,Good,buick,BUICK SKYLARK
25.8,4,156.0,92.0,2620,14.4,81,usa,dodge aries wagon (sw),1188.432,Good,dodge,DODGE ARIES WAGON (SW)
30.0,4,135.0,84.0,2385,12.9,81,usa,plymouth reliant,1081.836,Good,plymouth,PLYMOUTH RELIANT
39.1,4,79.0,58.0,1755,16.9,81,japan,toyota starlet,796.068,Good,toyota,TOYOTA STARLET
39.0,4,86.0,64.0,1875,16.4,81,usa,plymouth champ,850.5,Good,plymouth,PLYMOUTH CHAMP
35.1,4,81.0,60.0,1760,16.1,81,japan,honda civic 1300,798.336,Good,honda,HONDA CIVIC 1300
32.3,4,97.0,67.0,2065,17.8,81,japan,subaru,936.684,Good,subaru,SUBARU
37.0,4,85.0,65.0,1975,19.4,81,japan,datsun 210 mpg,895.86,Good,datsun,DATSUN 210 MPG
37.7,4,89.0,62.0,2050,17.3,81,japan,toyota tercel,929.88,Good,toyota,TOYOTA TERCEL
34.1,4,91.0,68.0,1985,16.0,81,japan,mazda glc 4,900.396,Good,mazda,MAZDA GLC 4
34.7,4,105.0,63.0,2215,14.9,81,usa,plymouth horizon 4,1004.724,Good,plymouth,PLYMOUTH HORIZON 4
34.4,4,98.0,65.0,2045,16.2,81,usa,ford escort 4w,927.612,Good,ford,FORD ESCORT 4W
29.9,4,98.0,65.0,2380,20.7,81,usa,ford escort 2h,1079.568,Good,ford,FORD ESCORT 2H
33.0,4,105.0,74.0,2190,14.2,81,europe,volkswagen jetta,993.384,Good,volkswagen,VOLKSWAGEN JETTA
34.5,4,100.0,,2320,15.8,81,europe,renault 18i,1052.352,Good,renault,RENAULT 18I
33.7,4,107.0,75.0,2210,14.4,81,japan,honda prelude,1002.456,Good,honda,HONDA PRELUDE
32.4,4,108.0,75.0,2350,16.8,81,japan,toyota corolla,1065.96,Good,toyota,TOYOTA COROLLA
32.9,4,119.0,100.0,2615,14.8,81,japan,datsun 200sx,1186.164,Good,datsun,DATSUN 200SX
31.6,4,120.0,74.0,2635,18.3,81,japan,mazda 626,1195.236,Good,mazda,MAZDA 626
28.1,4,141.0,80.0,3230,20.4,81,europe,peugeot 505s turbo diesel,1465.128,Good,peugeot,PEUGEOT 505S TURBO DIESEL
30.7,6,145.0,76.0,3160,19.6,81,europe,volvo diesel,1433.376,Good,volvo,VOLVO DIESEL
25.4,6,168.0,116.0,2900,12.6,81,japan,toyota cressida,1315.44,Good,toyota,TOYOTA CRESSIDA
26.6,8,350.0,105.0,3725,19.0,81,usa,oldsmobile cutlass ls,1689.66,Good,oldsmobile,OLDSMOBILE CUTLASS LS
28.0,4,112.0,88.0,2605,19.6,82,usa,chevrolet cavalier,1181.628,Good,chevrolet,CHEVROLET CAVALIER
27.0,4,112.0,88.0,2640,18.6,82,usa,chevrolet cavalier wagon,1197.504,Good,chevrolet,CHEVROLET CAVALIER WAGON
34.0,4,112.0,88.0,2395,18.0,82,usa,chevrolet cavalier 2-door,1086.372,Good,chevrolet,CHEVROLET CAVALIER 2-DOOR
31.0,4,112.0,85.0,2575,16.2,82,usa,pontiac j2000 se hatchback,1168.02,Good,pontiac,PONTIAC J2000 SE HATCHBACK
29.0,4,135.0,84.0,2525,16.0,82,usa,dodge aries se,1145.34,Good,dodge,DODGE ARIES SE
27.0,4,151.0,90.0,2735,18.0,82,usa,pontiac phoenix,1240.596,Good,pontiac,PONTIAC PHOENIX
36.0,4,105.0,74.0,1980,15.3,82,europe,volkswagen rabbit l,898.128,Good,volkswagen,VOLKSWAGEN RABBIT L
37.0,4,91.0,68.0,2025,18.2,82,japan,mazda glc custom l,918.54,Good,mazda,MAZDA GLC CUSTOM L
31.0,4,91.0,68.0,1970,17.6,82,japan,mazda glc custom,893.592,Good,mazda,MAZDA GLC CUSTOM
38.0,4,105.0,63.0,2125,14.7,82,usa,plymouth horizon miser,963.9,Good,plymouth,PLYMOUTH HORIZON MISER
36.0,4,98.0,70.0,2125,17.3,82,usa,mercury lynx l,963.9,Good,mercury,MERCURY LYNX L
36.0,4,120.0,88.0,2160,14.5,82,japan,nissan stanza xe,979.776,Good,nissan,NISSAN STANZA XE
36.0,4,107.0,75.0,2205,14.5,82,japan,honda accord,1000.188,Good,honda,HONDA ACCORD
34.0,4,108.0,70.0,2245,16.9,82,japan,toyota corolla,1018.332,Good,toyota,TOYOTA COROLLA
38.0,4,91.0,67.0,1965,15.0,82,japan,honda civic,891.324,Good,honda,HONDA CIVIC
32.0,4,91.0,67.0,1965,15.7,82,japan,honda civic (auto),891.324,Good,honda,HONDA CIVIC (AUTO)
38.0,4,91.0,67.0,1995,16.2,82,japan,datsun 310 gx,904.932,Good,datsun,DATSUN 310 GX
38.0,6,262.0,85.0,3015,17.0,82,usa,oldsmobile cutlass ciera (diesel),1367.604,Good,oldsmobile,OLDSMOBILE CUTLASS CIERA (DIESEL)
26.0,4,156.0,92.0,2585,14.5,82,usa,chrysler lebaron medallion,1172.556,Good,chrysler,CHRYSLER LEBARON MEDALLION
32.0,4,144.0,96.0,2665,13.9,82,japan,toyota celica gt,1208.844,Good,toyota,TOYOTA CELICA GT
36.0,4,135.0,84.0,2370,13.0,82,usa,dodge charger 2.2,1075.032,Good,dodge,DODGE CHARGER 2.2
27.0,4,151.0,90.0,2950,17.3,82,usa,chevrolet camaro,1338.1200000000001,Good,chevrolet,CHEVROLET CAMARO
27.0,4,140.0,86.0,2790,15.6,82,usa,ford mustang gl,1265.544,Good,ford,FORD MUSTANG GL
44.0,4,97.0,52.0,2130,24.6,82,europe,vw pickup,966.168,Good,vw,VW PICKUP
32.0,4,135.0,84.0,2295,11.6,82,usa,dodge rampage,1041.012,Good,dodge,DODGE RAMPAGE
28.0,4,120.0,79.0,2625,18.6,82,usa,ford ranger,1190.7,Good,ford,FORD RANGER
31.0,4,119.0,82.0,2720,19.4,82,usa,chevy s-10,1233.792,Good,chevy,CHEVY S-10
