MPG,CYLINDERS,DISPLACEMENT,HP,WEIGHT,ACCELERATION,YEAR,ORIGIN,NAME,WEIGHT_KG,EFFICIENCY,BRAND,NAME_UPPER
18.0,8,307.0,130.0,3504,12.0,70,usa,chevrolet chevelle malibu,1589.4144000000001,Average,chevrolet,CHEVROLET CHEVELLE MALIBU
15.0,8,350.0,165.0,3693,11.5,70,usa,buick skylark 320,1675.1448,Average,buick,BUICK SKYLARK 320
18.0,8,318.0,150.0,3436,11.0,70,usa,plymouth satellite,1558.5696,Average,plymouth,PLYMOUTH SATELLITE
16.0,8,304.0,150.0,3433,12.0,70,usa,amc rebel sst,1557.2088,Average,amc,AMC REBEL SST
17.0,8,302.0,140.0,3449,10.5,70,usa,ford torino,1564.4664,Average,ford,FORD TORINO
15.0,8,429.0,198.0,4341,10.0,70,usa,ford galaxie 500,1969.0776,Average,ford,FORD GALAXIE 500
14.0,8,454.0,220.0,4354,9.0,70,usa,chevrolet impala,1974.9744,Poor,chevrolet,CHEVROLET IMPALA
14.0,8,440.0,215.0,4312,8.5,70,usa,plymouth fury iii,1955.9232,Poor,plymouth,PLYMOUTH FURY III
14.0,8,455.0,225.0,4425,10.0,70,usa,pontiac catalina,2007.18,Poor,pontiac,PONTIAC CATALINA
15.0,8,390.0,190.0,3850,8.5,70,usa,amc ambassador dpl,1746.36,Average,amc,AMC AMBASSADOR DPL
15.0,8,383.0,170.0,3563,10.0,70,usa,dodge challenger se,1616.1768,Average,dodge,DODGE CHALLENGER SE
14.0,8,340.0,160.0,3609,8.0,70,usa,plymouth 'cuda 340,1637.0424,Poor,plymouth,PLYMOUTH 'CUDA 340
15.0,8,400.0,150.0,3761,9.5,70,usa,chevrolet monte carlo,1705.9896,Average,chevrolet,CHEVROLET MONTE CARLO
14.0,8,455.0,225.0,3086,10.0,70,usa,buick estate wagon (sw),1399.8096,Poor,buick,BUICK ESTATE WAGON (SW)
10.0,8,360.0,215.0,4615,14.0,70,usa,ford f250,2093.364,Poor,ford,FORD F250
10.0,8,307.0,200.0,4376,15.0,70,usa,chevy c20,1984.9536,Poor,chevy,CHEVY C20
11.0,8,318.0,210.0,4382,13.5,70,usa,dodge d200,1987.6752,Poor,dodge,DODGE D200
9.0,8,304.0,193.0,4732,18.5,70,usa,hi 1200d,2146.4352,Poor,hi,HI 1200D
